,Name,Author,User Rating,Price,Year,Genre,Unnamed: 0,Reviews
47,True Compass: A Memoir,Edward M. Kennedy,4.5,15,2009,Non Fiction,46.0,438.0
48,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,9,2009,Fiction,47.0,11676.0
49,Under the Dome: A Novel,Stephen King,4.3,20,2009,Fiction,48.0,6740.0
50,Watchmen,Alan Moore,4.8,42,2009,Fiction,49.0,3829.0
51,Where the Wild Things Are,Maurice Sendak,4.8,13,2009,Fiction,50.0,9967.0
52,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,2,2010,Non Fiction,51.0,460.0
53,"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,14,2010,Non Fiction,52.0,491.0
54,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,21,2010,Non Fiction,53.0,615.0
55,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,8,2010,Non Fiction,54.0,471.0
56,Catching Fire (The Hunger Games),Suzanne Collins,4.7,11,2010,Fiction,55.0,22614.0
57,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,14,2010,Non Fiction,56.0,1542.0
58,Cutting for Stone,Abraham Verghese,4.6,11,2010,Fiction,57.0,4866.0
59,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,8,2010,Fiction,58.0,1924.0
60,Decision Points,George W. Bush,4.6,17,2010,Non Fiction,59.0,2137.0
61,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,15,2010,Non Fiction,60.0,1651.0
62,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,16,2010,Non Fiction,61.0,2525.0
63,Food Rules: An Eater's Manual,Michael Pollan,4.4,9,2010,Non Fiction,62.0,1555.0
64,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,9,2010,Non Fiction,63.0,1215.0
65,George Washington's Sacred Fire,Peter A. Lillback,4.5,20,2010,Non Fiction,64.0,408.0
66,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,14,2010,Non Fiction,65.0,3457.0
67,Life,Keith Richards,4.5,18,2010,Non Fiction,66.0,2752.0
68,Little Bee: A Novel,Chris Cleave,4.1,10,2010,Fiction,67.0,1467.0
69,Mockingjay (The Hunger Games),Suzanne Collins,4.5,8,2010,Fiction,68.0,26741.0
70,Outliers: The Story of Success,Malcolm Gladwell,4.6,20,2010,Non Fiction,69.0,10426.0
71,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,2,2010,Fiction,70.0,548.0
72,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,46,2010,Non Fiction,71.0,8580.0
73,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,9,2010,Non Fiction,72.0,1985.0
74,Sarah's Key,Tatiana de Rosnay,4.6,10,2010,Fiction,73.0,3619.0
75,Sh*t My Dad Says,Justin Halpern,4.7,11,2010,Non Fiction,74.0,1265.0
76,StrengthsFinder 2.0,Gallup,4.0,17,2010,Non Fiction,75.0,5069.0
77,Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,13,2010,Non Fiction,76.0,1907.0
78,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,20,2010,Non Fiction,77.0,637.0
79,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,28,2010,Non Fiction,78.0,3477.0
80,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,10,2010,Fiction,79.0,11813.0
81,The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,17,2010,Non Fiction,80.0,3536.0
82,The Confession: A Novel,John Grisham,4.3,13,2010,Fiction,81.0,3523.0
83,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,11,2010,Non Fiction,82.0,440.0
84,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,6,2010,Non Fiction,83.0,3207.0
85,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,14,2010,Fiction,84.0,7747.0
86,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,9,2010,Fiction,85.0,7251.0
87,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,2,2010,Fiction,86.0,10559.0
88,The Help,Kathryn Stockett,4.8,6,2010,Fiction,87.0,13871.0
89,The Hunger Games,Suzanne Collins,4.7,14,2010,Fiction,88.0,32122.0
90,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,13,2010,Non Fiction,89.0,9289.0
91,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,7,2010,Fiction,90.0,4628.0
92,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,14,2010,Fiction,91.0,4506.0
93,The Official SAT Study Guide,The College Board,4.4,40,2010,Non Fiction,92.0,1201.0
94,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,12,2010,Fiction,93.0,2186.0
95,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,14,2010,Non Fiction,94.0,1204.0
96,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,0,2010,Fiction,95.0,2122.0
97,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,12,2010,Fiction,96.0,3796.0
98,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,11,2010,Non Fiction,97.0,3319.0
99,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,21,2010,Fiction,98.0,2282.0
100,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,16,2010,Non Fiction,99.0,29673.0
101,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,11,2010,Non Fiction,100.0,1302.0
102,11/22/63: A Novel,Stephen King,4.6,22,2011,Fiction,101.0,2052.0
103,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,11,2011,Fiction,102.0,12643.0
104,A Stolen Life: A Memoir,Jaycee Dugard,4.6,32,2011,Non Fiction,103.0,4149.0
105,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,0,2011,Fiction,104.0,4505.0
106,Catching Fire (The Hunger Games),Suzanne Collins,4.7,11,2011,Fiction,105.0,22614.0
107,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,14,2011,Non Fiction,106.0,1542.0
108,Cutting for Stone,Abraham Verghese,4.6,11,2011,Fiction,107.0,4866.0
109,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,4,2011,Fiction,108.0,2094.0
110,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,9,2011,Non Fiction,109.0,6346.0
111,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5,2011,Fiction,110.0,5594.0
112,Go the F**k to Sleep,Adam Mansbach,4.8,9,2011,Fiction,111.0,9568.0
113,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,14,2011,Non Fiction,112.0,3457.0
114,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,10,2011,Non Fiction,113.0,15779.0
115,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,21,2011,Non Fiction,114.0,4571.0
116,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,20,2011,Fiction,115.0,5299.0
117,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,8,2011,Non Fiction,116.0,19576.0
118,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,10,2011,Non Fiction,117.0,9342.0
119,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,13,2011,Non Fiction,118.0,1649.0
120,Mockingjay (The Hunger Games),Suzanne Collins,4.5,8,2011,Fiction,119.0,26741.0
121,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,13,2011,Non Fiction,120.0,3163.0
122,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,46,2011,Non Fiction,121.0,8580.0
123,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,9,2011,Non Fiction,122.0,1985.0
124,Steve Jobs,Walter Isaacson,4.6,20,2011,Non Fiction,123.0,7827.0
125,StrengthsFinder 2.0,Gallup,4.0,17,2011,Non Fiction,124.0,5069.0
126,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,20,2011,Non Fiction,125.0,637.0
127,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,22,2011,Non Fiction,126.0,2314.0
128,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,21,2011,Non Fiction,127.0,4587.0
129,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,28,2011,Non Fiction,128.0,3477.0
130,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,24,2011,Non Fiction,129.0,9325.0
131,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,10,2011,Fiction,130.0,11813.0
132,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,21,2011,Non Fiction,131.0,4633.0
133,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,15,2011,Non Fiction,132.0,2023.0
134,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,6,2011,Non Fiction,133.0,3207.0
135,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,14,2011,Fiction,134.0,7747.0
136,The Help,Kathryn Stockett,4.8,8,2011,Fiction,135.0,13871.0
137,The Help,Kathryn Stockett,4.8,7,2011,Fiction,136.0,13871.0
138,The Hunger Games (Book 1),Suzanne Collins,4.7,8,2011,Fiction,137.0,32122.0
139,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,30,2011,Fiction,138.0,16949.0
140,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9,2011,Non Fiction,139.0,9289.0
141,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,13,2011,Non Fiction,140.0,4247.0
142,The Litigators,John Grisham,4.4,18,2011,Fiction,141.0,6222.0
143,The Official SAT Study Guide,The College Board,4.4,40,2011,Non Fiction,142.0,1201.0
144,The Paris Wife: A Novel,Paula McLain,4.3,16,2011,Fiction,143.0,3759.0
145,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,10,2011,Fiction,144.0,4290.0
146,"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,10,2011,Fiction,145.0,1463.0
147,"Thinking, Fast and Slow",Daniel Kahneman,4.6,19,2011,Non Fiction,146.0,11034.0
148,Tina Fey: Bossypants,Tina Fey,4.3,12,2011,Non Fiction,147.0,5977.0
149,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,16,2011,Non Fiction,148.0,29673.0
150,Water for Elephants: A Novel,Sara Gruen,4.5,12,2011,Fiction,149.0,8958.0
151,What to Expect When You're Expecting,Heidi Murkoff,4.4,9,2011,Non Fiction,150.0,3341.0
152,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,24,2012,Non Fiction,151.0,1296.0
153,Catching Fire (The Hunger Games),Suzanne Collins,4.7,11,2012,Fiction,152.0,22614.0
154,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,9,2012,Non Fiction,153.0,6346.0
155,Fifty Shades Darker,E L James,4.4,7,2012,Fiction,154.0,23631.0
156,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,11,2012,Fiction,155.0,20262.0
157,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,14,2012,Fiction,156.0,47265.0
158,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,32,2012,Fiction,157.0,13964.0
159,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5,2012,Fiction,158.0,5594.0
160,Gone Girl,Gillian Flynn,4.0,10,2012,Fiction,159.0,57271.0
161,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,14,2012,Non Fiction,160.0,3457.0
162,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7,2012,Fiction,161.0,7038.0
163,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,10,2012,Non Fiction,162.0,15779.0
164,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,8,2012,Non Fiction,163.0,19576.0
165,Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,25,2012,Non Fiction,164.0,8634.0
166,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,10,2012,Non Fiction,165.0,9342.0
167,Mockingjay (The Hunger Games),Suzanne Collins,4.5,8,2012,Fiction,166.0,26741.0
168,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,14,2012,Non Fiction,167.0,8093.0
169,"Oh, the Places You'll Go!",Dr. Seuss,4.9,8,2012,Fiction,168.0,21834.0
170,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,13,2012,Non Fiction,169.0,3163.0
171,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,10,2012,Non Fiction,170.0,13616.0
172,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,46,2012,Non Fiction,171.0,8580.0
173,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,20,2012,Non Fiction,172.0,10009.0
174,Steve Jobs,Walter Isaacson,4.6,20,2012,Non Fiction,173.0,7827.0
175,StrengthsFinder 2.0,Gallup,4.0,17,2012,Non Fiction,174.0,5069.0
176,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,28,2012,Non Fiction,175.0,3477.0
177,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,24,2012,Non Fiction,176.0,9325.0
178,The Amateur,Edward Klein,4.6,9,2012,Non Fiction,177.0,2580.0
179,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,14,2012,Non Fiction,178.0,1789.0
180,The Casual Vacancy,J.K. Rowling,3.3,12,2012,Fiction,179.0,9372.0
181,The Fault in Our Stars,John Green,4.7,13,2012,Fiction,180.0,50482.0
182,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,6,2012,Non Fiction,181.0,3207.0
183,The Great Gatsby,F. Scott Fitzgerald,4.4,7,2012,Fiction,182.0,11616.0
184,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,13,2012,Fiction,183.0,11098.0
185,The Hunger Games (Book 1),Suzanne Collins,4.7,8,2012,Fiction,184.0,32122.0
186,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,30,2012,Fiction,185.0,16949.0
187,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9,2012,Non Fiction,186.0,9289.0
188,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,13,2012,Non Fiction,187.0,4247.0
189,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,10,2012,Fiction,188.0,6247.0
190,The Official SAT Study Guide,The College Board,4.4,40,2012,Non Fiction,189.0,1201.0
191,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,21,2012,Non Fiction,190.0,2876.0
192,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,21,2012,Non Fiction,191.0,10795.0
193,The Racketeer,John Grisham,4.3,18,2012,Fiction,192.0,14493.0
194,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,12,2012,Fiction,193.0,2091.0
195,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,7,2012,Fiction,194.0,6377.0
196,"Thinking, Fast and Slow",Daniel Kahneman,4.6,19,2012,Non Fiction,195.0,11034.0
197,Thomas Jefferson: The Art of Power,Jon Meacham,4.5,23,2012,Non Fiction,196.0,1904.0
198,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,16,2012,Non Fiction,197.0,29673.0
199,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,6,2012,Non Fiction,198.0,7497.0
200,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,18,2012,Non Fiction,199.0,17044.0
201,Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,15,2012,Fiction,200.0,10760.0
202,Allegiant,Veronica Roth,3.9,13,2013,Fiction,201.0,6310.0
203,And the Mountains Echoed,Khaled Hosseini,4.3,13,2013,Fiction,202.0,12159.0
204,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,10,2013,Non Fiction,203.0,1329.0
205,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,13,2013,Non Fiction,204.0,4642.0
206,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,105,2013,Non Fiction,205.0,6679.0
207,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,0,2013,Fiction,206.0,6812.0
208,Divergent,Veronica Roth,4.6,15,2013,Fiction,207.0,27098.0
209,Doctor Sleep: A Novel,Stephen King,4.7,13,2013,Fiction,208.0,15845.0
210,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,14,2013,Fiction,209.0,47265.0
211,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5,2013,Fiction,210.0,5594.0
212,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,16,2013,Non Fiction,211.0,4799.0
213,Gone Girl,Gillian Flynn,4.0,10,2013,Fiction,212.0,57271.0
214,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7,2013,Fiction,213.0,7038.0
215,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,11,2013,Non Fiction,214.0,4148.0
216,Humans of New York,Brandon Stanton,4.8,15,2013,Non Fiction,215.0,3490.0
217,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,17,2013,Non Fiction,216.0,4896.0
218,Inferno,Dan Brown,4.1,14,2013,Fiction,217.0,29651.0
219,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,8,2013,Non Fiction,218.0,19576.0
220,Joyland (Hard Case Crime),Stephen King,4.5,12,2013,Fiction,219.0,4748.0
221,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,12,2013,Non Fiction,220.0,11391.0
222,Knock-Knock Jokes for Kids,Rob Elliott,4.5,4,2013,Non Fiction,221.0,3673.0
223,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,4,2013,Non Fiction,222.0,6990.0
224,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,13,2013,Non Fiction,223.0,6132.0
225,"Oh, the Places You'll Go!",Dr. Seuss,4.9,8,2013,Fiction,224.0,21834.0
226,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,10,2013,Non Fiction,225.0,13616.0
227,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,46,2013,Non Fiction,226.0,8580.0
228,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,7,2013,Non Fiction,227.0,10009.0
229,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,12,2013,Fiction,228.0,7150.0
230,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,6,2013,Non Fiction,229.0,2272.0
231,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,17,2013,Non Fiction,230.0,220.0
232,StrengthsFinder 2.0,Gallup,4.0,17,2013,Non Fiction,231.0,5069.0
233,Sycamore Row (Jake Brigance),John Grisham,4.5,18,2013,Fiction,232.0,23114.0
234,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,28,2013,Non Fiction,233.0,3477.0
235,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,24,2013,Non Fiction,234.0,9325.0
236,The Book Thief,Markus Zusak,4.6,6,2013,Fiction,235.0,23148.0
237,The Day the Crayons Quit,Drew Daywalt,4.8,9,2013,Fiction,236.0,8922.0
238,The Fault in Our Stars,John Green,4.7,13,2013,Fiction,237.0,50482.0
239,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,6,2013,Non Fiction,238.0,3207.0
240,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,6,2013,Non Fiction,239.0,23308.0
